doc_id,company_name,stock_code,grant_amount,grant_ratio,participant_count,exercise_price,discount_rate,waiting_period,validity_period
1224831097,富祥药业,300497,620.0,7.58,50,16.15,,12.0,60.0
1224906264,弘亚数控,2833,1266.0,20.96,191,11.99,,12.0,60.0
1224848770,良信股份,2706,776.0,1.0,386,8.22,,12.0,36.0
1224821225,北方华创,2371,1046.5975,1.0,2306,235.74,,24.0,84.0
1224802424,安乃达,603350,110.625,5.0,86,39.02,,12.0,12.0
1224794179,杰创智能,301248,251.875,1.0,79,26.01,,12.0,36.0
1224755372,菲菱科思,301191,139.53,3.58,430,99.86,,18.0,72.0
1224636846,运机集团,1288,498.0,1.0,31,17.32,,12.0,48.0
1224635293,君实生物,688180,2617.5871,1.0,251,46.67,,12.0,12.0
1224633200,德明利,1309,386.3,2.13,294,80.99,,12.0,60.0
1224633025,*ST双成,2693,800.0,29.1368,149,7.93,,12.0,48.0
1224560888,晶澳科技,2459,16177.6185,41.17,1975,9.15,,12.0,60.0
1224561767,恒生电子,600570,1515.9,1.0,624,37.98,,60.0,60.0
1224687306,盾安环境,2011,477.0,0.45,415,14.1,,12.0,120.0
1224686434,魅视科技,1229,0.03,0.6,82,26.13,,12.0,48.0
1224682345,众兴菌业,2772,1437.5,28.7786,17,6.87,,12.0,60.0
1224682826,明阳智能,601615,2000.0,19.63,260,14.03,,12.0,36.0
1224518013,大洋电机,2249,1560.0,1.0,715,6.12,,48.0,48.0
1224519309,永冠新材,603681,580.0,19.49,112,16.1,,12.0,12.0
1224672514,卡莱特,301391,180.0,1.67,308,68.57,,12.0,48.0
1224387868,盈新发展,620,5000.0,0.85,90,1.66,,12.0,12.0
1224330159,神马电力,603530,974.41,18.28,61,26.47,,12.0,12.0
1224330361,鹏辉能源,300438,1560.0,1.0,319,21.59,,12.0,12.0
1224650866,凯中精密,2823,96.1,42.04,11,12.6,,36.0,36.0
1224651515,乐心医疗,300562,200.0,28.91,40,15.21,,12.0,36.0
1224269819,华胜天成,600410,2000.0,17.8647,8,7.9,,12.0,60.0
1224215903,超讯通信,603322,1100.0,20.012,49,30.94,,36.0,36.0
1224616327,柳药集团,603368,287.2,19.7,108,18.12,,12.0,36.0
1224058147,海量数据,603138,1765.9962,16.3076,10,12.84,,12.0,117.0
1224561796,复星医药,600196,572.61,,201,27.93,,60.0,60.0
